word,video_url
About,https://www.talkinghands.co.in/sites/default/files/islvideos/About.webm
Above,https://www.talkinghands.co.in/sites/default/files/islvideos/Above.webm
Accident,https://www.talkinghands.co.in/sites/default/files/islvideos/Accident.webm
Account,https://www.talkinghands.co.in/sites/default/files/islvideos/Account.webm
Accountant,https://www.talkinghands.co.in/sites/default/files/islvideos/Accountant.webm
Across,https://www.talkinghands.co.in/sites/default/files/islvideos/Across.webm
Act,https://www.talkinghands.co.in/sites/default/files/islvideos/Act.webm
Actor,https://www.talkinghands.co.in/sites/default/files/islvideos/Actor.webm
Actress,https://www.talkinghands.co.in/sites/default/files/islvideos/Actress.webm
Add,https://www.talkinghands.co.in/sites/default/files/islvideos/Add.webm
Address,https://www.talkinghands.co.in/sites/default/files/islvideos/Address.webm
Advertisement,https://www.talkinghands.co.in/sites/default/files/islvideos/Advertisement.webm
Aeroplane,https://www.talkinghands.co.in/sites/default/files/islvideos/Aeroplane.webm
Africa,https://www.talkinghands.co.in/sites/default/files/islvideos/Africa.webm
After,https://www.talkinghands.co.in/sites/default/files/islvideos/After.webm
Afternoon,https://www.talkinghands.co.in/sites/default/files/islvideos/Afternoon.webm
Again,https://www.talkinghands.co.in/sites/default/files/islvideos/Again.webm
Age-alternate,https://www.talkinghands.co.in/sites/default/files/islvideos/Age-alternate.webm
Agra,https://www.talkinghands.co.in/sites/default/files/islvideos/Agra.webm
Ahmedabad,https://www.talkinghands.co.in/sites/default/files/islvideos/Ahmedabad.webm
Air,https://www.talkinghands.co.in/sites/default/files/islvideos/Air.webm
Airmail,https://www.talkinghands.co.in/sites/default/files/islvideos/Airmail.webm
Alive,https://www.talkinghands.co.in/sites/default/files/islvideos/Alive.webm
Angry,https://www.talkinghands.co.in/sites/default/files/islvideos/Angry.webm
baby,https://www.talkinghands.co.in/sites/default/files/islvideos/baby.webm
BACK,https://www.talkinghands.co.in/sites/default/files/islvideos/BACK.webm
Bad-alternate,https://www.talkinghands.co.in/sites/default/files/islvideos/Bad-alternate.webm
Badminton,https://www.talkinghands.co.in/sites/default/files/islvideos/Badminton.webm
Badoda,https://www.talkinghands.co.in/sites/default/files/islvideos/Badoda.webm
Bail,https://www.talkinghands.co.in/sites/default/files/islvideos/Bail.webm
Ball,https://www.talkinghands.co.in/sites/default/files/islvideos/Ball.webm
Balloon,https://www.talkinghands.co.in/sites/default/files/islvideos/Balloon.webm
Banana,https://www.talkinghands.co.in/sites/default/files/islvideos/Banana.webm
Banaras,https://www.talkinghands.co.in/sites/default/files/islvideos/Banaras.webm
Bandage,https://www.talkinghands.co.in/sites/default/files/islvideos/Bandage.webm
Bandh,https://www.talkinghands.co.in/sites/default/files/islvideos/Bandh.webm
Bangladesh,https://www.talkinghands.co.in/sites/default/files/islvideos/Bangladesh.webm
Banglore,https://www.talkinghands.co.in/sites/default/files/islvideos/Banglore.webm
Bank,https://www.talkinghands.co.in/sites/default/files/islvideos/Bank.webm
Barber,https://www.talkinghands.co.in/sites/default/files/islvideos/Barber.webm
basket_ball,https://www.talkinghands.co.in/sites/default/files/islvideos/basket_ball.webm
Bat,https://www.talkinghands.co.in/sites/default/files/islvideos/Bat.webm
Bath,https://www.talkinghands.co.in/sites/default/files/islvideos/Bath.webm
Bathroom,https://www.talkinghands.co.in/sites/default/files/islvideos/Bathroom.webm
Bathroom_alternate,https://www.talkinghands.co.in/sites/default/files/islvideos/Bathroom_alternate.webm
Bed,https://www.talkinghands.co.in/sites/default/files/islvideos/Bed.webm
Bedsheet,https://www.talkinghands.co.in/sites/default/files/islvideos/Bedsheet.webm
Bed_room,https://www.talkinghands.co.in/sites/default/files/islvideos/Bed_room.webm
Before,https://www.talkinghands.co.in/sites/default/files/islvideos/Before.webm
Behind,https://www.talkinghands.co.in/sites/default/files/islvideos/Behind.webm
Bell,https://www.talkinghands.co.in/sites/default/files/islvideos/Bell.webm
Below,https://www.talkinghands.co.in/sites/default/files/islvideos/Below.webm
Bench,https://www.talkinghands.co.in/sites/default/files/islvideos/Bench.webm
Bengali,https://www.talkinghands.co.in/sites/default/files/islvideos/Bengali.webm
Cake,https://www.talkinghands.co.in/sites/default/files/islvideos/Cake.webm
Calculator,https://www.talkinghands.co.in/sites/default/files/islvideos/Calculator.webm
Calm,https://www.talkinghands.co.in/sites/default/files/islvideos/Calm.webm
Cancel,https://www.talkinghands.co.in/sites/default/files/islvideos/Cancel.webm
Cancer,https://www.talkinghands.co.in/sites/default/files/islvideos/Cancer.webm
Candle,https://www.talkinghands.co.in/sites/default/files/islvideos/Candle.webm
Capital,https://www.talkinghands.co.in/sites/default/files/islvideos/Capital.webm
CapsLock,https://www.talkinghands.co.in/sites/default/files/islvideos/CapsLock.webm
Car,https://www.talkinghands.co.in/sites/default/files/islvideos/Car.webm
Card,https://www.talkinghands.co.in/sites/default/files/islvideos/Card.webm
Carpenter,https://www.talkinghands.co.in/sites/default/files/islvideos/Carpenter.webm
Carrom,https://www.talkinghands.co.in/sites/default/files/islvideos/Carrom.webm
Cassette,https://www.talkinghands.co.in/sites/default/files/islvideos/Cassette.webm
Cat,https://www.talkinghands.co.in/sites/default/files/islvideos/Cat.webm
Cave,https://www.talkinghands.co.in/sites/default/files/islvideos/Cave.webm
CD,https://www.talkinghands.co.in/sites/default/files/islvideos/CD.webm
Cement,https://www.talkinghands.co.in/sites/default/files/islvideos/Cement.webm
Center,https://www.talkinghands.co.in/sites/default/files/islvideos/Center.webm
Centimeter,https://www.talkinghands.co.in/sites/default/files/islvideos/Centimeter.webm
Certificate,https://www.talkinghands.co.in/sites/default/files/islvideos/Certificate.webm
Chair,https://www.talkinghands.co.in/sites/default/files/islvideos/Chair.webm
Chandigarh,https://www.talkinghands.co.in/sites/default/files/islvideos/Chandigarh.webm
Chapathi,https://www.talkinghands.co.in/sites/default/files/islvideos/Chapathi.webm
Chappal,https://www.talkinghands.co.in/sites/default/files/islvideos/Chappal.webm
Chapter,https://www.talkinghands.co.in/sites/default/files/islvideos/Chapter.webm
Chart,https://www.talkinghands.co.in/sites/default/files/islvideos/Chart.webm
Chat,https://www.talkinghands.co.in/sites/default/files/islvideos/Chat.webm
Dam,https://www.talkinghands.co.in/sites/default/files/islvideos/Dam.webm
Dance,https://www.talkinghands.co.in/sites/default/files/islvideos/Dance.webm
Dasara,https://www.talkinghands.co.in/sites/default/files/islvideos/Dasara.webm
Daughter,https://www.talkinghands.co.in/sites/default/files/islvideos/Daughter.webm
Day,https://www.talkinghands.co.in/sites/default/files/islvideos/Day.webm
day_before,https://www.talkinghands.co.in/sites/default/files/islvideos/day_before.webm
December,https://www.talkinghands.co.in/sites/default/files/islvideos/December.webm
December-alternate,https://www.talkinghands.co.in/sites/default/files/islvideos/December-alternate.webm
Decide,https://www.talkinghands.co.in/sites/default/files/islvideos/Decide.webm
Deer,https://www.talkinghands.co.in/sites/default/files/islvideos/Deer.webm
Delhi,https://www.talkinghands.co.in/sites/default/files/islvideos/Delhi.webm
Descending,https://www.talkinghands.co.in/sites/default/files/islvideos/Descending.webm
Desert,https://www.talkinghands.co.in/sites/default/files/islvideos/Desert.webm
Designing,https://www.talkinghands.co.in/sites/default/files/islvideos/Designing.webm
Desk,https://www.talkinghands.co.in/sites/default/files/islvideos/Desk.webm
Devil,https://www.talkinghands.co.in/sites/default/files/islvideos/Devil.webm
Dhobi,https://www.talkinghands.co.in/sites/default/files/islvideos/Dhobi.webm
Diabetes,https://www.talkinghands.co.in/sites/default/files/islvideos/Diabetes.webm
Die,https://www.talkinghands.co.in/sites/default/files/islvideos/Die.webm
Easter,https://www.talkinghands.co.in/sites/default/files/islvideos/Easter.webm
Easter_2,https://www.talkinghands.co.in/sites/default/files/islvideos/Easter_2.webm
Easy,https://www.talkinghands.co.in/sites/default/files/islvideos/Easy.webm
Eat,https://www.talkinghands.co.in/sites/default/files/islvideos/Eat.webm
Eclipse,https://www.talkinghands.co.in/sites/default/files/islvideos/Eclipse.webm
Edit,https://www.talkinghands.co.in/sites/default/files/islvideos/Edit.webm
Elbow,https://www.talkinghands.co.in/sites/default/files/islvideos/Elbow.webm
Election,https://www.talkinghands.co.in/sites/default/files/islvideos/Election.webm
electric,https://www.talkinghands.co.in/sites/default/files/islvideos/electric.webm
Electrician,https://www.talkinghands.co.in/sites/default/files/islvideos/Electrician.webm
Elephant,https://www.talkinghands.co.in/sites/default/files/islvideos/Elephant.webm
Email,https://www.talkinghands.co.in/sites/default/files/islvideos/Email.webm
Embroidery-1,https://www.talkinghands.co.in/sites/default/files/islvideos/Embroidery-1.webm
Embroidery-2,https://www.talkinghands.co.in/sites/default/files/islvideos/Embroidery-2.webm
Enemy,https://www.talkinghands.co.in/sites/default/files/islvideos/Enemy.webm
Engagement,https://www.talkinghands.co.in/sites/default/files/islvideos/Engagement.webm
Engine,https://www.talkinghands.co.in/sites/default/files/islvideos/Engine.webm
Engineer,https://www.talkinghands.co.in/sites/default/files/islvideos/Engineer.webm
England,https://www.talkinghands.co.in/sites/default/files/islvideos/England.webm
Enjoy,https://www.talkinghands.co.in/sites/default/files/islvideos/Enjoy.webm
Entertainment,https://www.talkinghands.co.in/sites/default/files/islvideos/Entertainment.webm
Envelop,https://www.talkinghands.co.in/sites/default/files/islvideos/Envelop.webm
Equater,https://www.talkinghands.co.in/sites/default/files/islvideos/Equater.webm
Earth,https://www.talkinghands.co.in/sites/default/files/islvideos/Earth.webm
Earthquake,https://www.talkinghands.co.in/sites/default/files/islvideos/Earthquake.webm
East,https://www.talkinghands.co.in/sites/default/files/islvideos/East.webm
Face,https://www.talkinghands.co.in/sites/default/files/islvideos/Face.webm
Facebook,https://www.talkinghands.co.in/sites/default/files/islvideos/Facebook.webm
Factory,https://www.talkinghands.co.in/sites/default/files/islvideos/Factory.webm
Faith-1,https://www.talkinghands.co.in/sites/default/files/islvideos/Faith-1.webm
Fake,https://www.talkinghands.co.in/sites/default/files/islvideos/Fake.webm
False-1,https://www.talkinghands.co.in/sites/default/files/islvideos/False-1.webm
Family,https://www.talkinghands.co.in/sites/default/files/islvideos/Family.webm
Famous,https://www.talkinghands.co.in/sites/default/files/islvideos/Famous.webm
Fan,https://www.talkinghands.co.in/sites/default/files/islvideos/Fan.webm
Far,https://www.talkinghands.co.in/sites/default/files/islvideos/Far.webm
Far2,https://www.talkinghands.co.in/sites/default/files/islvideos/Far2.webm
Farmer,https://www.talkinghands.co.in/sites/default/files/islvideos/Farmer.webm
Father,https://www.talkinghands.co.in/sites/default/files/islvideos/Father.webm
Father_1,https://www.talkinghands.co.in/sites/default/files/islvideos/Father_1.webm
Fax,https://www.talkinghands.co.in/sites/default/files/islvideos/Fax.webm
Fear,https://www.talkinghands.co.in/sites/default/files/islvideos/Fear.webm
Fearl,https://www.talkinghands.co.in/sites/default/files/islvideos/Fearl.webm
February,https://www.talkinghands.co.in/sites/default/files/islvideos/February.webm
February-alternate,https://www.talkinghands.co.in/sites/default/files/islvideos/February-alternate.webm
Festivals,https://www.talkinghands.co.in/sites/default/files/islvideos/Festivals.webm
File,https://www.talkinghands.co.in/sites/default/files/islvideos/File.webm
Film,https://www.talkinghands.co.in/sites/default/files/islvideos/Film.webm
Fingers,https://www.talkinghands.co.in/sites/default/files/islvideos/Fingers.webm
Fioppy,https://www.talkinghands.co.in/sites/default/files/islvideos/Fioppy.webm
Fire,https://www.talkinghands.co.in/sites/default/files/islvideos/Fire.webm
First Floor,https://www.talkinghands.co.in/sites/default/files/islvideos/First Floor.webm
Fisherman,https://www.talkinghands.co.in/sites/default/files/islvideos/Fisherman.webm
Fishing_Net,https://www.talkinghands.co.in/sites/default/files/islvideos/Fishing_Net.webm
Flag,https://www.talkinghands.co.in/sites/default/files/islvideos/Flag.webm
Flood,https://www.talkinghands.co.in/sites/default/files/islvideos/Flood.webm
